pcell_cid,pcell_freq,nrcell_cid,nrcell_freq,scell1_cid,scell1_freq,scell2_cid,scell2_freq,scell3_cid,scell3_freq,nrscell1_cid,nrscell1_freq,nrscell2_cid,nrscell2_freq,nrscell3_cid,nrscell3_freq,instance_number,duration_sample_number
313,66536,219,176930,4,55744,None,None,None,None,None,None,None,None,None,None,7,448
219,66536,219,176930,42,56140,None,None,None,None,None,None,None,None,None,None,7,1251
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,125,1032
313,66536,None,None,None,None,None,None,None,None,None,None,None,None,None,None,9,913
313,66536,219,176930,4,55942,None,None,None,None,None,None,None,None,None,None,4,71
313,66536,220,176930,4,55942,None,None,None,None,None,None,None,None,None,None,3,174
240,66536,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,9
240,66536,220,176930,6,55744,None,None,None,None,None,None,None,None,None,None,4,2475
240,66536,388,176930,6,55744,None,None,None,None,None,None,None,None,None,None,1,5
388,66536,388,176930,134,56242,None,None,None,None,None,None,None,None,None,None,11,2016
388,66536,18,176930,134,56242,None,None,None,None,None,None,None,None,None,None,7,265
213,66536,18,176930,21,56140,None,None,None,None,None,None,None,None,None,None,6,2082
213,66536,413,176930,21,56140,None,None,None,None,None,None,None,None,None,None,5,156
413,66536,413,176930,477,56044,None,None,None,None,None,None,None,None,None,None,8,1568
413,66536,108,176930,477,56044,None,None,None,None,None,None,None,None,None,None,1,20
109,66536,108,176930,175,56140,None,None,None,None,None,None,None,None,None,None,11,2067
224,66536,224,176930,104,55744,None,None,None,None,None,None,None,None,None,None,28,6878
439,66536,224,176930,434,55942,None,None,None,None,None,None,None,None,None,None,32,3468
439,66536,439,176930,434,55942,None,None,None,None,None,None,None,None,None,None,26,2847
286,66536,None,None,None,None,None,None,None,None,None,None,None,None,None,None,10,712
286,66536,353,176930,None,None,None,None,None,None,None,None,None,None,None,None,52,11312
286,66536,439,176930,None,None,None,None,None,None,None,None,None,None,None,None,54,3569
286,66536,314,176930,None,None,None,None,None,None,None,None,None,None,None,None,24,1119
313,66536,None,None,4,55744,4,55942,4,56140,None,None,None,None,None,None,5,1469
313,66536,314,176930,4,55744,4,55942,4,56140,None,None,None,None,None,None,2,2
313,66536,4,2239999,4,55744,4,55942,4,56140,None,None,None,None,None,None,1,230
313,66536,None,None,4,56140,4,55744,4,55942,None,None,None,None,None,None,5,671
313,66536,314,176930,4,55744,None,None,None,None,None,None,None,None,None,None,13,8509
313,66536,220,176930,4,55744,None,None,None,None,None,None,None,None,None,None,5,223
313,66536,None,None,4,56140,4,55942,4,55744,None,None,None,None,None,None,7,39
313,66536,229,176930,4,55744,None,None,None,None,None,None,None,None,None,None,2,828
286,66536,224,176930,None,None,None,None,None,None,None,None,None,None,None,None,16,1996
439,66536,439,176930,434,56140,None,None,None,None,None,None,None,None,None,None,32,1844
439,66536,224,176930,434,56140,None,None,None,None,None,None,None,None,None,None,39,3433
439,66536,345,176930,434,56140,None,None,None,None,None,None,None,None,None,None,5,86
224,66536,224,176930,104,56140,None,None,None,None,None,None,None,None,None,None,26,11762
177,66536,224,176930,None,None,None,None,None,None,None,None,None,None,None,None,21,1242
177,66536,220,176930,None,None,None,None,None,None,None,None,None,None,None,None,30,2356
177,66536,219,176930,None,None,None,None,None,None,None,None,None,None,None,None,8,169
313,66536,219,176930,4,56140,None,None,None,None,None,None,None,None,None,None,5,29
313,66536,220,176930,4,56140,None,None,None,None,None,None,None,None,None,None,5,725
313,66536,314,176930,4,56140,None,None,None,None,None,None,None,None,None,None,17,7327
313,66536,229,176930,4,56140,None,None,None,None,None,None,None,None,None,None,6,801
177,66536,181,176930,None,None,None,None,None,None,None,None,None,None,None,None,17,667
177,66536,108,176930,None,None,None,None,None,None,None,None,None,None,None,None,12,332
313,66536,108,176930,4,56140,None,None,None,None,None,None,None,None,None,None,2,11
439,66536,439,176930,434,55744,None,None,None,None,None,None,None,None,None,None,33,4108
439,66536,224,176930,434,55744,None,None,None,None,None,None,None,None,None,None,34,2335
177,66536,353,176930,None,None,None,None,None,None,None,None,None,None,None,None,14,2404
219,66536,220,176930,42,56140,None,None,None,None,None,None,None,None,None,None,1,16
219,66536,108,176930,42,56140,None,None,None,None,None,None,None,None,None,None,2,54
109,66536,108,176930,175,55942,None,None,None,None,None,None,None,None,None,None,9,3341
386,66536,None,None,386,5230,None,None,None,None,None,None,None,None,None,None,28,2516
386,66536,108,176930,None,None,None,None,None,None,None,None,None,None,None,None,26,3278
224,66536,None,None,None,None,None,None,None,None,None,None,None,None,None,None,19,4667
313,66536,None,None,4,55744,4,56140,4,55942,None,None,None,None,None,None,13,2730
286,66536,None,None,286,5230,None,None,None,None,None,None,None,None,None,None,42,1780
177,66536,None,None,177,5230,None,None,None,None,None,None,None,None,None,None,62,1165
224,66536,None,None,104,55744,104,56140,104,55942,None,None,None,None,None,None,8,1471
439,66536,None,None,434,47489,434,47291,434,47090,None,None,None,None,None,None,8,1119
439,66536,None,None,432,47090,432,47291,439,2561,None,None,None,None,None,None,1,348
224,66536,None,None,103,47291,103,47090,224,2561,None,None,None,None,None,None,3,856
178,66536,None,None,None,None,None,None,None,None,None,None,None,None,None,None,22,7208
177,5230,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3,367
313,5230,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3,603
286,5230,None,None,286,2050,None,None,None,None,None,None,None,None,None,None,3,1261
224,5230,None,None,104,55744,104,56140,104,55942,None,None,None,None,None,None,5,946
439,5230,None,None,434,55744,434,56140,434,55942,None,None,None,None,None,None,1,155
177,5230,None,None,177,2050,None,None,None,None,None,None,None,None,None,None,3,693
313,5230,None,None,4,55744,4,56140,4,55942,None,None,None,None,None,None,1,46
240,5230,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,4
219,5230,None,None,42,53140,42,53341,42,53539,None,None,None,None,None,None,2,195
109,5230,None,None,175,47489,175,47291,175,47090,None,None,None,None,None,None,2,36
219,5230,None,None,42,55942,42,55744,42,56140,None,None,None,None,None,None,2,423
109,5230,None,None,175,55942,175,55744,175,56140,None,None,None,None,None,None,2,86
109,66536,None,None,175,55744,175,56140,175,55942,None,None,None,None,None,None,5,471
109,66536,None,None,176,53140,176,53341,109,2561,None,None,None,None,None,None,2,208
106,66536,None,None,86,56044,86,56242,86,56440,None,None,None,None,None,None,1,910
219,66536,219,176930,42,55942,None,None,None,None,None,None,None,None,None,None,7,2667
219,66536,108,176930,42,55942,None,None,None,None,None,None,None,None,None,None,5,59
219,66536,None,None,42,56140,42,55744,42,55942,None,None,None,None,None,None,1,3
386,66536,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5,2155
386,66536,107,176930,None,None,None,None,None,None,None,None,None,None,None,None,18,1118
106,66536,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4,652
106,66536,108,176930,86,56044,None,None,None,None,None,None,None,None,None,None,1,548
106,66536,107,176930,86,56044,None,None,None,None,None,None,None,None,None,None,1,510
313,66536,314,176930,4,55942,None,None,None,None,None,None,None,None,None,None,18,8781
313,66536,229,176930,4,55942,None,None,None,None,None,None,None,None,None,None,2,24
219,66536,None,None,42,53140,42,53539,42,53341,None,None,None,None,None,None,4,27
219,66536,219,176930,42,55744,None,None,None,None,None,None,None,None,None,None,6,1536
219,66536,108,176930,42,55744,None,None,None,None,None,None,None,None,None,None,4,79
109,66536,108,176930,175,55744,None,None,None,None,None,None,None,None,None,None,6,2099
386,66536,749,2239999,386,5230,None,None,None,None,None,None,None,None,None,None,4,1334
219,66536,220,176930,42,55942,None,None,None,None,None,None,None,None,None,None,1,4
109,66536,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4,810
106,66536,107,176930,86,56242,None,None,None,None,None,None,None,None,None,None,1,274
106,66536,314,176930,86,56242,None,None,None,None,None,None,None,None,None,None,1,18
219,66536,None,None,42,55942,42,55744,42,56140,None,None,None,None,None,None,2,265
106,66536,None,None,86,56440,86,56044,86,56242,None,None,None,None,None,None,1,408
428,66536,356,176930,None,None,None,None,None,None,None,None,None,None,None,None,43,5145
428,66536,282,176930,None,None,None,None,None,None,None,None,None,None,None,None,26,2992
428,66536,145,176930,None,None,None,None,None,None,None,None,None,None,None,None,2,91
156,66536,356,176930,None,None,None,None,None,None,None,None,None,None,None,None,129,23539
115,66536,356,176930,None,None,None,None,None,None,None,None,None,None,None,None,35,8383
239,66536,None,None,None,None,None,None,None,None,None,None,None,None,None,None,14,834
239,66536,446,176930,109,56140,None,None,None,None,None,None,None,None,None,None,4,340
446,66536,446,176930,111,55744,None,None,None,None,None,None,None,None,None,None,4,503
446,66536,356,176930,111,55744,None,None,None,None,None,None,None,None,None,None,2,92
356,66536,356,176930,238,56140,None,None,None,None,None,None,None,None,None,None,7,978
156,66536,None,None,None,None,None,None,None,None,None,None,None,None,None,None,10,2768
156,66536,218,176930,None,None,None,None,None,None,None,None,None,None,None,None,87,3013
428,66536,None,None,None,None,None,None,None,None,None,None,None,None,None,None,9,1865
428,66536,None,None,428,5230,None,None,None,None,None,None,None,None,None,None,19,3539
156,66536,None,None,156,5230,None,None,None,None,None,None,None,None,None,None,93,9585
156,66536,282,176930,None,None,None,None,None,None,None,None,None,None,None,None,5,257
115,66536,None,None,115,5230,None,None,None,None,None,None,None,None,None,None,42,4555
239,66536,None,None,110,53140,110,53341,239,2561,None,None,None,None,None,None,3,1224
285,66536,None,None,285,2561,285,925,None,None,None,None,None,None,None,None,45,13689
388,66536,None,None,134,53539,134,53341,134,53140,None,None,None,None,None,None,1,351
459,66536,None,None,24,47489,24,47291,24,47090,None,None,None,None,None,None,1,54
388,66536,None,None,133,47090,133,47291,388,2561,None,None,None,None,None,None,5,1305
213,66536,None,None,21,47090,21,47291,21,47489,None,None,None,None,None,None,3,472
390,66536,None,None,390,5230,None,None,None,None,None,None,None,None,None,None,55,4012
240,66536,None,None,6,55744,6,56140,6,55942,None,None,None,None,None,None,2,691
178,66536,None,None,178,5230,None,None,None,None,None,None,None,None,None,None,70,7731
81,66536,None,None,37,53140,37,53341,81,2561,None,None,None,None,None,None,3,381
459,66536,None,None,24,47291,24,47489,24,47090,None,None,None,None,None,None,1,513
213,66536,None,None,21,55744,21,56140,21,55942,None,None,None,None,None,None,2,216
413,66536,None,None,477,47489,477,47291,477,47090,None,None,None,None,None,None,7,1014
109,66536,None,None,175,55942,175,56140,175,55744,None,None,None,None,None,None,1,143
439,66536,None,None,434,55744,434,56140,434,55942,None,None,None,None,None,None,8,761
224,66536,None,None,104,56140,104,55942,104,55744,None,None,None,None,None,None,3,1240
388,66536,None,None,133,47291,133,47090,388,925,None,None,None,None,None,None,1,165
459,66536,None,None,25,53140,25,53341,459,2561,None,None,None,None,None,None,1,489
388,66536,None,None,134,47489,134,47291,134,47090,None,None,None,None,None,None,3,672
213,66536,None,None,21,47090,21,47489,21,47291,None,None,None,None,None,None,2,516
390,66536,None,None,None,None,None,None,None,None,None,None,None,None,None,None,10,1397
240,66536,None,None,6,47489,6,47291,6,47090,None,None,None,None,None,None,1,1091
224,66536,None,None,104,47489,104,47090,104,47291,None,None,None,None,None,None,16,960
81,66536,None,None,38,56140,38,55942,38,55744,None,None,None,None,None,None,23,7560
388,66536,None,None,134,56044,134,56242,134,56440,None,None,None,None,None,None,3,474
459,66536,None,None,24,56140,24,55744,24,55942,None,None,None,None,None,None,4,980
224,66536,None,None,104,56140,104,55744,104,55942,None,None,None,None,None,None,2,59
388,66536,None,None,134,56044,134,56440,134,56242,None,None,None,None,None,None,7,139
459,66536,None,None,24,55744,24,55942,24,56140,None,None,None,None,None,None,1,145
388,66536,None,None,134,56242,134,56440,134,56044,None,None,None,None,None,None,1,282
213,66536,None,None,21,47291,21,47489,21,47090,None,None,None,None,None,None,1,190
240,66536,None,None,6,47489,6,47090,6,47291,None,None,None,None,None,None,1,334
224,66536,None,None,104,47489,104,47291,104,47090,None,None,None,None,None,None,6,1662
388,66536,None,None,134,47489,134,47090,134,47291,None,None,None,None,None,None,14,1186
213,66536,None,None,21,47489,21,47090,21,47291,None,None,None,None,None,None,6,756
240,66536,None,None,6,56140,6,55942,6,55744,None,None,None,None,None,None,1,217
178,5230,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,794
178,5230,None,None,390,2050,None,None,None,None,None,None,None,None,None,None,4,452
81,5230,None,None,38,55744,38,56140,38,55942,None,None,None,None,None,None,1,4
81,5230,None,None,37,53341,37,53140,81,66536,None,None,None,None,None,None,1,195
459,5230,None,None,24,56140,24,55744,24,55942,None,None,None,None,None,None,1,13
413,66536,None,None,479,47291,479,47090,413,2561,None,None,None,None,None,None,2,46
240,66536,None,None,6,56140,6,55744,6,55942,None,None,None,None,None,None,1,253
81,5230,None,None,38,47489,38,47291,38,47090,None,None,None,None,None,None,1,181
459,5230,None,None,24,55744,24,56140,24,55942,None,None,None,None,None,None,1,181
459,925,None,None,24,47090,24,47291,24,47489,None,None,None,None,None,None,1,15
459,925,181,176930,459,66536,None,None,None,None,None,None,None,None,None,None,4,217
459,925,388,176930,459,66536,None,None,None,None,None,None,None,None,None,None,4,189
388,925,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3,640
388,925,18,176930,134,47291,134,47489,None,None,None,None,None,None,None,None,1,58
213,925,18,176930,21,47090,21,47291,21,47489,None,None,None,None,None,None,2,475
213,925,413,176930,21,47090,21,47291,21,47489,None,None,None,None,None,None,1,31
413,925,413,176930,413,66536,None,None,None,None,None,None,None,None,None,None,2,367
413,925,220,176930,413,66536,None,None,None,None,None,None,None,None,None,None,2,1122
240,925,220,176930,240,66536,None,None,None,None,None,None,None,None,None,None,2,512
240,925,224,176930,240,66536,None,None,None,None,None,None,None,None,None,None,1,28
413,925,224,176930,413,66536,None,None,None,None,None,None,None,None,None,None,1,18
224,925,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,184
224,925,81,176930,104,47090,104,47291,104,47489,None,None,None,None,None,None,1,84
81,925,81,176930,38,47090,38,47291,38,47489,None,None,None,None,None,None,1,90
388,925,81,176930,134,47090,134,47291,134,47489,None,None,None,None,None,None,1,6
388,925,388,176930,133,47291,None,None,None,None,None,None,None,None,None,None,1,16
388,925,181,176930,133,47291,None,None,None,None,None,None,None,None,None,None,1,1
459,925,None,None,24,56140,24,55744,24,55942,None,None,None,None,None,None,1,5
388,925,388,176930,133,47090,133,47291,None,None,None,None,None,None,None,None,3,68
388,925,181,176930,133,47090,133,47291,None,None,None,None,None,None,None,None,2,206
388,925,18,176930,134,47090,134,47291,134,47489,None,None,None,None,None,None,1,44
213,925,413,176930,None,None,None,None,None,None,None,None,None,None,None,None,1,14
388,925,413,176930,133,47090,133,47291,134,47489,None,None,None,None,None,None,1,76
388,925,388,176930,133,47090,133,47291,134,47489,None,None,None,None,None,None,1,326
388,925,220,176930,133,47291,None,None,None,None,None,None,None,None,None,None,1,100
178,66536,224,176930,None,None,None,None,None,None,None,None,None,None,None,None,84,20763
178,66536,220,176930,None,None,None,None,None,None,None,None,None,None,None,None,66,9296
178,66536,81,176930,None,None,None,None,None,None,None,None,None,None,None,None,10,186
224,66536,81,176930,104,55942,None,None,None,None,None,None,None,None,None,None,21,1656
81,66536,81,176930,38,56140,None,None,None,None,None,None,None,None,None,None,28,5429
224,66536,81,176930,104,56140,None,None,None,None,None,None,None,None,None,None,10,1033
81,66536,81,176930,38,55744,None,None,None,None,None,None,None,None,None,None,32,9499
256,66536,239,176930,None,None,None,None,None,None,None,None,None,None,None,None,48,10791
239,66536,239,176930,109,55744,None,None,None,None,None,None,None,None,None,None,13,2578
425,66536,None,None,425,5230,None,None,None,None,None,None,None,None,None,None,63,5044
425,66536,81,176930,None,None,None,None,None,None,None,None,None,None,None,None,42,2706
425,66536,181,176930,None,None,None,None,None,None,None,None,None,None,None,None,71,13696
81,66536,81,176930,38,55942,None,None,None,None,None,None,None,None,None,None,14,4921
256,66536,81,176930,None,None,None,None,None,None,None,None,None,None,None,None,32,618
425,66536,56,176930,None,None,None,None,None,None,None,None,None,None,None,None,9,434
239,66536,239,176930,109,55942,None,None,None,None,None,None,None,None,None,None,11,2703
285,66536,None,None,285,925,285,2561,None,None,None,None,None,None,None,None,11,2796
256,66536,None,None,256,5230,None,None,None,None,None,None,None,None,None,None,65,4285
425,66536,None,None,None,None,None,None,None,None,None,None,None,None,None,None,22,3922
256,66536,None,None,None,None,None,None,None,None,None,None,None,None,None,None,15,884
239,66536,239,176930,109,56140,None,None,None,None,None,None,None,None,None,None,10,3190
362,66536,446,176930,None,None,None,None,None,None,None,None,None,None,None,None,52,2431
362,66536,417,176930,None,None,None,None,None,None,None,None,None,None,None,None,7,61
362,66536,18,176930,None,None,None,None,None,None,None,None,None,None,None,None,91,7998
285,66536,446,176930,285,2561,285,925,None,None,None,None,None,None,None,None,1,1
285,66536,112,2071667,285,2561,285,925,None,None,None,None,None,None,None,None,8,1134
446,66536,None,None,None,None,None,None,None,None,None,None,None,None,None,None,23,4389
446,66536,404,2071667,None,None,None,None,None,None,None,None,None,None,None,None,13,1680
362,66536,None,None,None,None,None,None,None,None,None,None,None,None,None,None,16,4046
362,66536,None,None,362,5230,None,None,None,None,None,None,None,None,None,None,121,12764
446,66536,None,None,111,55942,111,55744,111,56140,None,None,None,None,None,None,8,2793
285,66536,None,None,None,None,None,None,None,None,None,None,None,None,None,None,21,5977
115,66536,239,176930,None,None,None,None,None,None,None,None,None,None,None,None,4,121
446,66536,356,176930,111,55942,None,None,None,None,None,None,None,None,None,None,1,39
356,66536,356,176930,238,55942,None,None,None,None,None,None,None,None,None,None,6,1687
452,66536,None,None,452,5230,None,None,None,None,None,None,None,None,None,None,60,13060
53,66536,356,176930,None,None,None,None,None,None,None,None,None,None,None,None,85,8695
156,66536,239,176930,None,None,None,None,None,None,None,None,None,None,None,None,1,4
53,66536,218,176930,None,None,None,None,None,None,None,None,None,None,None,None,50,2240
115,66536,None,None,None,None,None,None,None,None,None,None,None,None,None,None,13,5584
388,66536,181,176930,134,56044,None,None,None,None,None,None,None,None,None,None,12,850
459,66536,181,176930,24,56140,None,None,None,None,None,None,None,None,None,None,13,2180
459,66536,388,176930,24,56140,None,None,None,None,None,None,None,None,None,None,6,134
388,66536,388,176930,134,56044,None,None,None,None,None,None,None,None,None,None,15,3471
388,66536,18,176930,134,56044,None,None,None,None,None,None,None,None,None,None,5,279
413,66536,413,176930,477,56242,None,None,None,None,None,None,None,None,None,None,5,887
390,66536,413,176930,None,None,None,None,None,None,None,None,None,None,None,None,57,6032
390,66536,220,176930,None,None,None,None,None,None,None,None,None,None,None,None,17,1010
390,66536,388,176930,None,None,None,None,None,None,None,None,None,None,None,None,44,6615
81,66536,224,176930,38,55942,None,None,None,None,None,None,None,None,None,None,7,163
459,66536,81,176930,24,55744,None,None,None,None,None,None,None,None,None,None,1,5
459,66536,388,176930,24,55744,None,None,None,None,None,None,None,None,None,None,10,922
388,66536,388,176930,134,56440,None,None,None,None,None,None,None,None,None,None,14,1778
459,66536,181,176930,24,55744,None,None,None,None,None,None,None,None,None,None,10,1762
439,66536,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4,212
224,66536,224,176930,104,55942,None,None,None,None,None,None,None,None,None,None,28,8355
81,66536,388,176930,38,55744,None,None,None,None,None,None,None,None,None,None,1,9
213,66536,18,176930,21,55942,None,None,None,None,None,None,None,None,None,None,8,2267
413,66536,18,176930,477,56044,None,None,None,None,None,None,None,None,None,None,2,23
240,66536,413,176930,6,55744,None,None,None,None,None,None,None,None,None,None,2,26
178,66536,413,176930,None,None,None,None,None,None,None,None,None,None,None,None,10,219
224,66536,81,176930,104,55744,None,None,None,None,None,None,None,None,None,None,16,664
388,66536,81,176930,134,56242,None,None,None,None,None,None,None,None,None,None,7,142
388,66536,181,176930,134,56242,None,None,None,None,None,None,None,None,None,None,13,1116
459,66536,181,176930,24,55942,None,None,None,None,None,None,None,None,None,None,8,2588
459,66536,388,176930,24,55942,None,None,None,None,None,None,None,None,None,None,5,288
388,66536,81,176930,134,56044,None,None,None,None,None,None,None,None,None,None,5,57
413,66536,None,None,None,None,None,None,None,None,None,None,None,None,None,None,6,434
240,66536,220,176930,6,56140,None,None,None,None,None,None,None,None,None,None,3,861
81,66536,181,176930,38,56140,None,None,None,None,None,None,None,None,None,None,3,42
213,66536,18,176930,21,55744,None,None,None,None,None,None,None,None,None,None,5,1554
390,66536,18,176930,None,None,None,None,None,None,None,None,None,None,None,None,11,674
388,66536,181,176930,134,56440,None,None,None,None,None,None,None,None,None,None,11,936
213,66536,413,176930,21,55942,None,None,None,None,None,None,None,None,None,None,6,80
413,66536,413,176930,477,56440,None,None,None,None,None,None,None,None,None,None,3,143
240,66536,413,176930,6,55942,None,None,None,None,None,None,None,None,None,None,1,50
240,66536,220,176930,6,55942,None,None,None,None,None,None,None,None,None,None,2,462
81,66536,224,176930,38,56140,None,None,None,None,None,None,None,None,None,None,4,98
388,66536,81,176930,134,56440,None,None,None,None,None,None,None,None,None,None,3,38
388,66536,18,176930,134,56440,None,None,None,None,None,None,None,None,None,None,2,256
240,66536,413,176930,6,56140,None,None,None,None,None,None,None,None,None,None,1,6
81,66536,None,None,None,None,None,None,None,None,None,None,None,None,None,None,29,13478
81,66536,None,None,38,56140,38,55744,38,55942,None,None,None,None,None,None,1,109
239,66536,None,None,110,53341,110,53140,239,2561,None,None,None,None,None,None,3,846
239,66536,None,None,109,47090,109,47489,109,47291,None,None,None,None,None,None,1,257
81,66536,None,None,38,47090,38,47489,38,47291,None,None,None,None,None,None,1,737
239,66536,None,None,109,47291,109,47489,109,47090,None,None,None,None,None,None,1,241
239,66536,None,None,109,56140,109,55744,109,55942,None,None,None,None,None,None,7,451
239,66536,None,None,109,55744,109,55942,109,56140,None,None,None,None,None,None,3,332
446,66536,None,None,111,55942,111,56140,111,55744,None,None,None,None,None,None,1,139
446,66536,None,None,111,55744,111,56140,111,55942,None,None,None,None,None,None,6,643
446,66536,None,None,111,56140,111,55942,111,55744,None,None,None,None,None,None,1,474
362,66536,182,2071667,362,5230,None,None,None,None,None,None,None,None,None,None,2,1591
100,66536,181,2071667,181,47489,181,47090,181,47291,None,None,None,None,None,None,1,87
445,66536,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,9
445,66536,148,2071667,None,None,None,None,None,None,None,None,None,None,None,None,1,498
117,66536,None,None,None,None,None,None,None,None,None,None,None,None,None,None,14,1595
117,66536,317,2071667,None,None,None,None,None,None,None,None,None,None,None,None,1,1
356,66536,None,None,238,56140,238,55744,238,55942,None,None,None,None,None,None,2,6
356,66536,148,2071667,238,56140,238,55744,238,55942,None,None,None,None,None,None,1,1
356,66536,317,2071667,238,56140,238,55744,238,55942,None,None,None,None,None,None,1,633
452,66536,None,None,None,None,None,None,None,None,None,None,None,None,None,None,16,1979
226,66536,30,176930,None,None,None,None,None,None,None,None,None,None,None,None,15,1790
226,66536,None,None,226,5230,None,None,None,None,None,None,None,None,None,None,32,3985
226,66536,282,176930,None,None,None,None,None,None,None,None,None,None,None,None,16,1529
226,66536,218,176930,None,None,None,None,None,None,None,None,None,None,None,None,8,348
452,66536,88,2071667,452,5230,None,None,None,None,None,None,None,None,None,None,7,1347
356,66536,None,None,None,None,None,None,None,None,None,None,None,None,None,None,23,3991
117,66536,356,176930,None,None,None,None,None,None,None,None,None,None,None,None,61,11844
156,66536,317,2071667,156,5230,None,None,None,None,None,None,None,None,None,None,1,41
226,66536,356,176930,None,None,None,None,None,None,None,None,None,None,None,None,2,18
226,66536,298,176930,None,None,None,None,None,None,None,None,None,None,None,None,2,70
117,66536,None,None,117,5230,None,None,None,None,None,None,None,None,None,None,17,183
452,66536,30,176930,452,5230,None,None,None,None,None,None,None,None,None,None,1,1
117,66536,5,176930,None,None,None,None,None,None,None,None,None,None,None,None,6,122
356,66536,356,176930,238,55744,None,None,None,None,None,None,None,None,None,None,3,751
213,2561,None,None,21,47489,21,47291,21,47090,None,None,None,None,None,None,7,748
282,2561,None,None,47,56140,47,55942,47,55744,None,None,None,None,None,None,1,227
218,2561,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3,178
356,2561,None,None,238,55744,238,55942,238,56140,None,None,None,None,None,None,3,995
356,2561,317,2071667,238,55744,238,55942,238,56140,None,None,None,None,None,None,2,1356
30,2561,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,180
282,2561,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,26
213,2561,None,None,21,55942,21,55744,21,56140,None,None,None,None,None,None,7,734
356,2561,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5,858
30,2561,None,None,30,925,30,2050,None,None,None,None,None,None,None,None,1,177
282,2561,None,None,48,53140,48,53341,282,66536,None,None,None,None,None,None,2,74
282,2561,None,None,47,53539,47,53341,47,53140,None,None,None,None,None,None,3,95
452,5230,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,82
117,5230,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,44
117,5230,317,2071667,117,2050,None,None,None,None,None,None,None,None,None,None,1,130
156,5230,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2,316
30,925,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,2
213,925,30,176930,21,47090,21,47291,21,47489,None,None,None,None,None,None,1,7
213,925,18,176930,None,None,None,None,None,None,None,None,None,None,None,None,1,80
213,925,282,176930,None,None,None,None,None,None,None,None,None,None,None,None,2,240
213,925,None,None,21,55942,21,55744,21,56140,None,None,None,None,None,None,1,13
282,925,282,176930,282,66536,None,None,None,None,None,None,None,None,None,None,1,218
282,925,356,176930,282,66536,None,None,None,None,None,None,None,None,None,None,1,39
356,925,356,176930,238,47090,238,47291,238,47489,None,None,None,None,None,None,1,3
100,66536,182,2071667,None,None,None,None,None,None,None,None,None,None,None,None,1,1497
445,66536,None,None,148,47291,148,47090,445,2561,None,None,None,None,None,None,1,532
356,66536,None,None,238,47489,238,47291,238,47090,None,None,None,None,None,None,6,1211
428,66536,298,176930,None,None,None,None,None,None,None,None,None,None,None,None,1,4
218,2561,None,None,29,56140,29,55942,29,55744,None,None,None,None,None,None,1,92
356,2561,None,None,238,55942,238,56140,238,55744,None,None,None,None,None,None,1,53
356,2561,356,176930,238,55942,238,56140,238,55744,None,None,None,None,None,None,1,1
356,2561,317,2071667,238,55942,238,56140,238,55744,None,None,None,None,None,None,2,696
30,2561,None,None,30,925,30,66536,None,None,None,None,None,None,None,None,2,236
218,2561,None,None,29,47489,29,47291,29,47090,None,None,None,None,None,None,2,138
30,2561,None,None,30,66536,30,925,None,None,None,None,None,None,None,None,1,164
439,66536,None,None,434,47090,434,47489,434,47291,None,None,None,None,None,None,3,30
439,66536,353,176930,434,55942,None,None,None,None,None,None,None,None,None,None,1,82
439,66536,None,None,434,47489,434,47090,434,47291,None,None,None,None,None,None,2,9
439,66536,345,176930,434,55942,None,None,None,None,None,None,None,None,None,None,4,442
177,66536,294,2239999,177,5230,None,None,None,None,None,None,None,None,None,None,16,3062
177,66536,296,2239999,177,5230,None,None,None,None,None,None,None,None,None,None,12,562
220,66536,None,None,6,47489,6,47090,6,47291,None,None,None,None,None,None,9,353
439,66536,None,None,434,55942,434,55744,434,56140,None,None,None,None,None,None,7,37
286,66536,294,2239999,None,None,None,None,None,None,None,None,None,None,None,None,1,167
177,66536,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4,847
52,66536,None,None,352,47291,352,47090,352,47489,None,None,None,None,None,None,1,228
81,66536,None,None,38,55942,38,56140,38,55744,None,None,None,None,None,None,12,93
210,66536,None,None,None,None,None,None,None,None,None,None,None,None,None,None,15,3670
239,66536,None,None,109,55942,109,55744,109,56140,None,None,None,None,None,None,2,70
364,66536,None,None,346,47489,346,47090,346,47291,None,None,None,None,None,None,2,77
