grid_lat,grid_lon,pcell_cid,pcell_freq,nrcell_cid,nrcell_freq,scell1_cid,scell1_freq,scell2_cid,scell2_freq,scell3_cid,scell3_freq,nrscell1_cid,nrscell1_freq,nrscell2_cid,nrscell2_freq,nrscell3_cid,nrscell3_freq,cell_set_type,total_avail_sample,avail_sample,avail_sample_ratio,thput_sample_num,thput_sample,thput_sample_ratio,thput_avg,thput_std,thput_0,thput_10,thput_25,thput_50,thput_75,thput_90,thput_100,thput_conf_interval_90,thput_conf_interval_90_ratio,thput_sample_needed,total_rtt_sample,rtt_sample,rtt_sample_ratio,rtt_avg,rtt_std,rtt_0,rtt_10,rtt_25,rtt_50,rtt_75,rtt_90,rtt_100,rtt_conf_interval_90,rtt_conf_interval_90_ratio,rtt_sample_needed
-87.632,41.8745,106,66536,107,176930,86,55744,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,270,267,0.9888888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-87.632,41.8745,227,66536,None,None,227,5230,None,None,None,None,None,None,None,None,None,None,LTE,270,3,0.011111111111111112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-87.632,41.875,160,66536,165,2239999,160,5230,None,None,None,None,None,None,None,None,None,None,LTE+MW,46,46,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-87.632,41.8755,219,66536,219,176930,42,55942,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,96,21,0.21875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-87.632,41.8755,219,66536,43,2239999,42,56140,42,55744,42,55942,None,None,None,None,None,None,LTE+MW,96,19,0.19791666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-87.632,41.8755,219,66536,None,None,42,53140,42,53539,42,53341,None,None,None,None,None,None,LTE,96,4,0.041666666666666664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-87.632,41.8755,227,66536,165,2239999,227,5230,None,None,None,None,None,None,None,None,None,None,LTE+MW,96,44,0.4583333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-87.632,41.8755,386,66536,219,176930,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,96,1,0.010416666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-87.632,41.8755,386,66536,None,None,386,5230,None,None,None,None,None,None,None,None,None,None,LTE,96,7,0.07291666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-87.632,41.8765,109,66536,108,176930,175,55942,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,191,68,0.35602094240837695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-87.632,41.8765,109,66536,108,176930,175,56140,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,191,55,0.2879581151832461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-87.632,41.8765,109,66536,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,191,68,0.35602094240837695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-87.632,41.878,413,66536,None,None,477,47489,477,47090,477,47291,None,None,None,None,None,None,LTE,46,46,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-87.632,41.8805,56,66536,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,410,17,0.041463414634146344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-87.632,41.8805,100,66536,182,2071667,181,56044,181,56242,181,56440,None,None,None,None,None,None,LTE+MW,410,143,0.348780487804878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-87.632,41.8805,100,66536,182,2071667,181,56044,181,56242,181,56440,None,None,None,None,None,None,LTE+MW,410,160,0.3902439024390244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-87.632,41.8805,115,66536,None,None,97,53140,97,53539,97,53341,None,None,None,None,None,None,LTE,410,44,0.1073170731707317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-87.632,41.8805,56,66536,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,410,46,0.11219512195121951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-87.632,41.881,100,66536,111,2071667,181,56044,181,56242,181,56440,None,None,None,None,None,None,LTE+MW,159,1,0.006289308176100629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-87.632,41.881,100,66536,182,2071667,181,56044,181,56242,181,56440,None,None,None,None,None,None,LTE+MW,159,3,0.018867924528301886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-87.632,41.881,100,66536,None,None,181,56044,181,56242,181,56440,None,None,None,None,None,None,LTE,159,3,0.018867924528301886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-87.632,41.881,362,66536,404,2071667,362,5230,None,None,None,None,None,None,None,None,None,None,LTE+MW,159,84,0.5283018867924528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-87.632,41.881,100,66536,110,2071667,181,56044,181,56242,181,56440,None,None,None,None,None,None,LTE+MW,159,1,0.006289308176100629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-87.632,41.881,100,66536,182,2071667,181,56044,181,56242,181,56440,None,None,None,None,None,None,LTE+MW,159,13,0.08176100628930817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-87.632,41.881,100,66536,None,None,181,56044,181,56242,181,56440,None,None,None,None,None,None,LTE,159,3,0.018867924528301886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-87.632,41.881,362,66536,404,2071667,362,5230,None,None,None,None,None,None,None,None,None,None,LTE+MW,159,51,0.32075471698113206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-87.632,41.8815,362,66536,404,2071667,362,5230,None,None,None,None,None,None,None,None,None,None,LTE+MW,437,33,0.07551487414187644,120,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-87.632,41.8815,362,66536,None,None,362,5230,None,None,None,None,None,None,None,None,None,None,LTE,437,4,0.009153318077803204,120,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-87.632,41.8815,446,66536,404,2071667,None,None,None,None,None,None,None,None,None,None,None,None,LTE+MW,437,41,0.09382151029748284,120,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-87.632,41.8815,446,66536,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,437,3,0.006864988558352402,120,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
